0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
298.8462,293.4195,322.6566,337.2211,322.0081,318.8481,320.2124,334.3806,329.8896,326.7983,333.2571,334.3097,335.0676,327.1071,325.6136,324.1201,329.6367,335.5728,304.2411,308.9361,320.6017,282.192,274.5371,280.2731,292.1283,285.0331,267.6425,256.4525,256.0865,260.6237,256.0371,246.0875,238.9643,239.5126,244.5692,241.9459,242.3409,246.7209,247.6253,247.8775,246.8079,247.5091,248.2785,249.3782,250.8098,254.9707,259.9914,261.5499,263.1084,264.6669,266.2254,245.6188,243.2439,242.9746,237.1581,240.9072,247.0626,247.753,248.0324,248.8253,242.8567,241.1421,243.7893,240.6561,239.8981,244.6036,248.4086,251.269,253.3531,254.0346,254.1613,260.0912,269.4376,261.2528,255.8773,258.4018,259.1328,259.4941,257.9344,257.3728,264.7909,261.5899,255.3068,249.0236,244.6963,240.4025,240.3609,241.4015,242.5289,240.4269,240.2064,240.5971,242.7404,243.4412,243.3317,238.1924,230.42,246.3013,255.8704,248.4422,253.0379,267.1859,279.0425,286.6649,283.1771,271.472,257.4195,243.8733,242.6506,239.2179,231.3812,233.1803,235.4004,239.6286,241.3204,242.5765,237.4304,236.9312,236.4319,240.3661,248.8452,257.5892,263.7117,266.6441,269.0913,267.1069,263.9797,264.7515
269.8113,273.2811,292.3533,298.7011,282.0975,283.7007,289.1001,304.7456,302.4875,301.1908,306.0555,303.2961,300.825,306.8819,306.5495,306.2171,305.9547,305.6964,270.4868,284.3047,307.2568,258.9903,242.1142,240.4955,257.5872,251.973,231.7533,221.0583,223.1693,230.125,231.2116,227.0256,222.82,228.7569,239.4287,238.1749,239.3777,243.7099,244.9717,245.3985,243.5811,242.192,241.2546,242.5032,244.725,254.8747,266.616,266.9536,267.2911,267.6287,267.9663,248.8373,244.2265,241.306,246.5999,247.2932,246.597,250.5896,250.9514,249.3668,248.2897,249.0877,250.8112,244.8243,242.2433,247.146,249.1326,248.0607,246.1307,246.0808,250.5869,256.5848,261.4456,257.3096,253.3531,250.6637,250.5498,250.3713,249.857,250.1028,256.3014,252.8952,248.7972,244.6992,243.9821,243.323,243.1737,244.5963,246.2003,243.431,244.2592,246.1695,245.1015,245.3271,246.4701,243.6985,238.8775,245.7161,249.4854,244.9085,250.0907,262.1447,271.3773,277.8659,275.7279,266.024,254.1924,242.0599,239.3237,235.0405,228.5131,231.869,233.8132,228.8489,231.1186,233.59,239.0025,241.594,244.1856,246.6875,252.6654,258.8517,258.1487,257.1547,256.265,257.2572,258.7347,265.503
252.1752,254.6603,257.7248,252.7414,238.0905,248.0482,255.356,254.7903,263.4609,269.5146,257.5623,254.206,252.0304,284.7532,285.0758,285.3983,269.7459,253.1373,232.4099,252.6401,279.9407,236.5407,216.4171,209.0219,222.8178,221.8871,209.6768,205.1071,208.2117,213.3752,211.6796,206.3367,203.5065,214.8489,231.3885,229.2116,232.3319,239.2899,233.4351,231.1751,236.7655,234.4772,233.2178,236.9377,241.3478,251.9765,269.7694,268.186,266.6025,265.019,263.4356,242.3439,240.6948,241.2598,244.9827,246.208,246.7334,250.584,250.1196,247.6172,249.5525,250.6624,250.0323,245.0099,241.9917,243.2896,244.9143,246.8818,243.6689,239.1693,243.1333,246.9553,249.9132,251.5613,252.7873,252.777,252.8634,253.018,253.5269,253.5807,250.084,252.4175,253.0626,253.7077,253.129,252.5293,247.0457,248.2553,250.3062,244.577,245.8951,249.2953,248.8286,248.052,247.6766,240.6875,230.2361,239.945,247.5685,243.2182,243.5787,248.9056,254.6708,260.3735,261.397,255.208,246.7589,236.8321,234.1841,230.6203,225.7874,227.0288,228.937,234.1764,236.4902,238.3958,234.3277,235.3171,236.3066,240.9734,245.1487,249.2886,252.1245,251.0112,249.2541,251.9076,255.6987,260.3631
243.1385,240.655,235.0955,227.1508,218.529,223.1085,225.9962,224.9734,234.8946,241.0316,221.9068,222.8677,225.0065,261.9476,262.538,263.1284,242.4884,220.5777,212.7694,226.0941,242.7045,216.0042,207.3598,207.677,208.3125,206.9289,204.5148,203.6694,204.5516,205.9634,205.7072,202.8383,198.8408,204.4822,215.8401,217.6233,223.0284,228.5148,219.8308,218.1452,231.1977,227.0932,224.7313,230.8033,236.6232,242.2247,266.2768,263.5165,260.7563,257.996,255.2358,238.3493,237.2757,237.9898,238.1127,239.641,241.5134,247.4581,244.3045,237.2134,242.8425,245.4936,242.8077,238.9995,237.2951,238.0092,239.3352,241.3031,240.021,237.047,238.0499,243.3573,253.2822,254.8419,256.9821,260.1508,260.8156,261.4624,262.0158,261.6606,254.2539,258.8993,258.7986,258.698,258.1651,257.6248,250.8799,252.2106,254.5595,248.6305,249.435,252.2693,251.6586,249.0698,246.1627,235.5268,220.8447,235.1319,248.9077,247.3737,244.7005,246.3053,253.7839,258.7126,256.4435,248.4289,242.9656,241.2844,236.3216,233.0757,235.1617,236.9139,239.1474,243.5081,243.7524,243.5647,237.0168,234.6239,232.231,236.7635,241.2723,245.7683,249.3147,246.1638,241.8927,246.7366,253.9314,258.3509
241.7684,235.4026,223.3924,213.958,211.8298,213.199,213.9927,213.9591,219.9197,223.7602,213.4746,214.7036,216.6137,238.6524,240.3446,242.0368,228.0616,213.1487,208.8896,210.3754,212.6021,206.3913,202.1358,199.147,203.5608,201.9398,195.9521,194.5453,197.4368,201.3498,200.9551,197.2042,193.957,195.8879,202.2977,205.5996,211.743,216.3336,206.3687,204.8831,219.5548,207.7685,200.7637,216.8998,228.8688,213.4011,258.4729,255.3698,252.2666,249.1635,246.0603,238.3289,238.8194,240.2188,246.4872,244.043,239.4147,239.8627,238.3777,235.5408,234.8953,234.1084,232.6142,226.2209,224.3423,229.1618,233.7821,238.1933,235.661,231.3562,238.3237,247.286,256.791,258.8632,261.2873,264.5124,266.8459,268.7199,268.2051,267.2216,262.6547,264.6944,257.4039,250.1133,249.4589,248.9184,252.5221,255.1203,257.5587,252.2409,253.4489,256.6112,256.4837,250.7421,243.2172,228.4717,209.9461,229.5379,247.1403,243.5937,244.8338,249.5254,252.9212,250.6125,240.5102,230.6035,223.9007,225.8383,232.7351,237.5752,237.0049,240.4914,243.5092,243.8768,244.0758,244.2559,243.9114,236.4454,228.9794,229.0025,236.259,243.9362,248.127,241.9424,234.0674,241.1967,252.1956,254.1197
228.8793,227.4767,209.4263,197.6892,201.3402,206.7591,209.2038,203.6352,212.1573,217.1669,199.1929,204.4422,210.0277,225.5303,225.9716,226.413,214.0805,200.9836,205.5192,206.2044,205.8397,201.0861,194.3633,187.3837,197.5188,198.9595,192.8225,187.1487,187.6627,192.3263,191.2302,185.063,178.9808,183.9484,196.7182,200.3179,203.6998,200.4242,183.848,181.2343,203.9825,179.0177,163.5744,194.2113,215.0991,169.5571,242.6546,239.5954,236.5361,233.4769,230.4177,234.481,240.6824,247.0571,244.0353,244.0502,245.1486,239.9392,232.3495,224.6322,223.0489,224.0043,224.6553,212.8194,206.1843,211.409,219.9742,232.0431,227.1167,216.3327,230.85,241.4055,246.3719,256.0531,261.2609,255.7892,259.8809,263.1898,262.4303,262.1114,265.096,260.2928,247.3686,234.4444,234.1345,234.0414,253.7527,254.253,252.2816,254.5897,255.6404,256.1806,255.3413,249.9034,242.8265,227.5116,207.884,225.6774,242.1993,238.4788,240.6327,241.6014,235.0639,221.6872,205.0466,198.1884,195.5835,205.0605,222.5498,232.1691,221.8322,229.8132,236.3886,235.5243,237.8142,239.9992,240.1601,227.1323,214.1045,211.9862,221.8344,232.3813,238.0067,230.9391,221.8182,232.5829,248.4759,250.1565
215.1838,217.5685,195.2998,179.5842,182.3578,193.7623,198.0039,182.1656,196.7338,205.0156,172.3243,182.7852,193.5094,211.9864,213.9464,215.9064,201.5796,186.278,191.7699,196.5986,200.8501,186.7187,185.1987,188.9996,189.7767,195.3167,203.7408,198.6508,190.7051,186.6562,181.5329,180.7844,185.4156,185.0889,178.3549,171.5332,171.3405,175.8169,163.9742,154.501,151.6348,148.3544,148.134,162.7224,172.4506,147.1913,161.8228,168.173,174.5232,180.8733,187.2235,219.6085,229.2261,236.2267,233.503,233.329,234.1415,238.3152,230.5556,217.8739,207.9717,208.2143,213.4538,200.5652,190.3275,193.2577,200.7503,213.0282,212.7986,207.9501,221.258,230.9377,237.6501,253.4725,257.9678,236.231,241.569,246.1889,247.0759,248.3217,251.6214,240.7927,232.4588,224.1249,223.3359,222.6766,224.1779,231.4383,239.3603,232.1138,233.9301,238.6719,231.0382,227.5075,227.2837,224.0278,219.1844,226.1895,229.9236,225.0603,229.6197,231.9256,221.8067,204.8935,187.2299,183.1979,188.1654,206.0166,211.222,213.4812,208.4984,211.2278,213.9937,217.3983,223.9377,229.8994,226.7547,211.3909,196.0271,190.9444,200.5823,211.0849,202.8594,204.117,207.4092,219.0738,232.8975,236.6502
198.3932,193.3568,193.971,186.8697,170.0047,175.3932,176.4821,165.6932,173.9473,179.8167,169.7326,171.9734,174.3996,182.3212,190.0299,197.7386,199.0518,199.9824,190.9231,189.0255,188.5712,204.3981,210.1362,211.4931,201.7968,201.7547,208.5407,208.8101,207.1236,206.9092,199.8575,195.095,198.8096,200.9716,200.3064,198.427,200.7627,202.9886,188.2886,179.3378,183.9652,179.4034,173.8837,163.7285,156.1025,168.0746,174.5944,181.1832,187.7721,194.3609,200.9498,224.064,228.5251,230.8785,225.1173,226.6303,230.1363,230.4944,227.1639,222.8245,208.7181,202.6837,204.05,193.5952,186.0047,187.9399,195.9993,210.4823,217.6991,216.1165,215.8681,223.7128,240.2888,241.2498,240.1218,234.3997,234.5318,234.7139,235.156,235.5533,235.3731,232.9749,233.5401,234.1053,232.5291,230.9162,235.4281,230.1754,223.7049,232.7793,233.0434,230.4251,231.4028,231.6786,231.1882,229.7592,227.8388,223.4194,214.8586,204.4255,211.5136,223.983,223.7952,216.6431,206.1062,205.4341,215.9259,237.8884,233.6338,228.8579,223.675,223.1316,222.2979,219.5375,214.6176,210.6768,220.7869,210.6057,200.4246,189.4191,192.6811,196.799,202.4271,205.7843,208.7207,212.6363,216.8045,219.4775
211.0472,201.9571,198.8301,192.5862,182.2623,180.5626,179.4619,180.4564,180.7881,181.4399,183.5897,177.7297,172.8153,195.8647,197.2884,198.7121,199.0804,199.3855,204.1578,207.3986,210.2787,209.7891,209.4371,209.3937,214.2524,216.3029,216.0309,214.4327,216.8797,222.7512,214.8344,206.6745,210.711,217.7029,222.1105,217.3126,216.7923,217.431,203.5953,198.54,211.6012,201.887,192.6785,185.9174,180.2301,182.9405,184.5077,191.7969,199.086,206.3752,213.6644,227.8164,226.9071,224.3448,216.5102,219.1494,224.3897,223.9114,221.6972,219.5268,215.5936,212.0954,209.3496,201.8056,198.4939,201.5857,210.6883,226.0957,234.3815,233.757,234.0092,237.1071,242.5428,240.8567,240.6309,243.2711,240.5997,238.1902,237.1417,236.0597,235.287,241.9106,240.2084,238.5062,237.4482,236.4012,237.7086,237.118,236.2793,235.3427,235.855,236.7232,236.1893,235.7006,235.42,226.9034,214.0753,230.3878,234.1069,213.2112,205.1278,212.1873,222.2229,225.8786,224.5183,229.1877,234.9691,240.8454,241.6643,239.5416,230.6187,231.0087,231.6943,233.2478,229.1056,225.4503,228.6342,217.3395,206.0448,196.6544,212.1443,229.121,227.5464,223.2565,218.9183,222.7578,228.7062,227.3005
210.1261,209.2329,207.8923,202.1441,190.3159,189.8432,189.1708,188.1818,189.1393,190.4278,193.4612,190.163,187.5208,204.2769,206.4147,208.5526,209.2427,209.8462,207.5424,212.3858,218.5119,231.522,232.4498,229.1283,234.9561,234.9933,230.4323,230.0921,231.1526,231.3541,225.8627,222.573,226.6397,229.4694,229.6077,228.1444,229.2523,229.9901,219.7582,217.1204,230.7326,226.5859,222.6288,219.5892,215.8569,206.6822,198.9501,205.5844,212.2187,218.8529,225.4872,230.4757,225.3692,219.2021,215.3864,215.9175,217.3382,227.4586,226.2233,219.6309,213.4834,212.9585,215.5162,214.458,213.0804,213.6282,220.8035,234.9303,239.2194,231.7204,226.2162,223.6712,227.7984,233.9665,239.4273,242.7154,245.8069,248.2915,247.6209,246.8646,245.451,245.0343,239.0778,233.1213,234.4523,235.9084,247.4814,243.2782,237.1054,241.2551,241.316,239.8898,245.3477,245.3194,242.1793,233.9144,222.9666,245.8812,259.1125,247.5171,229.7766,219.9503,225.2602,228.2571,228.4015,229.1084,229.1076,230.4747,238.3933,241.8333,232.8506,230.302,228.4534,230.2663,230.1956,230.5549,236.8998,228.896,220.8922,217.8685,229.4205,241.8372,243.5103,241.5528,239.2165,239.5937,240.6706,235.1627
