0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
653.2388,713.3553,716.6401,719.9248,693.6938,688.9665,693.15,708.2325,718.1459,727.89,737.7151,718.0538,708.6476,705.6049,697.3111,694.9161,694.6906,702.0807,710.9365,718.8845,709.202,711.3454,710.7365,700.1831,706.6851,705.6017,700.4721,709.8177,718.9363,713.4911,688.5035,678.9937,679.8771,666.3307,670.6418,672.5872,675.3721,638.567,619.9346,638.1887,647.1998,627.1491,643.0581,648.6354,652.0946,682.3253,639.4365,667.4601,671.1033,674.7897,690.6475,693.687,697.3941,681.8516,704.5959,715.6373,705.134,692.224,701.4344,719.2559,723.4613,723.7021,712.2853,718.6636,711.1669,704.0193,694.2075,697.6432,705.2559,709.2621,710.736,688.3279,684.6579,690.9593,683.8832,681.5432,689.2993,707.7837,711.5048,716.9315,713.5065,702.0769,717.3789,705.5798,664.6024,697.4971,687.5815,741.1056,776.4319,736.064,740.8075,746.0982,753.6492,741.9201,746.0878,767.5608,743.9791,744.5261,752.0742,750.0088,747.5452,737.9527,747.2034,740.2678,731.2823,738.4763,741.739,733.3802,743.507,733.5103,730.5329,750.6722,752.6782,742.6552,732.2076,744.9901,775.069,765.3691,750.693,770.6559,792.5338,789.5482,774.264,763.83,759.5155,761.5049,750.3456,735.8716
705.5134,753.5457,745.3577,737.1697,703.3028,724.3145,744.0378,735.8835,752.4655,758.1631,761.8005,744.3757,741.2939,733.7787,707.1224,724.5793,728.6483,727.2793,731.7621,737.7212,734.4553,735.3105,730.9643,727.3449,737.7009,741.3508,740.1241,745.6417,753.2394,752.7119,731.8199,704.605,689.4814,685.9194,682.2731,677.6502,681.3661,713.1351,721.509,719.5441,703.0727,644.3562,656.9723,654.679,672.5505,663.7779,657.4139,682.4206,687.2664,692.1505,707.7702,710.0993,731.1996,709.2332,732.5198,740.5914,728.6089,710.3209,729.2395,698.166,686.1956,683.147,705.3145,729.907,736.0396,727.9818,694.2573,707.1918,723.5363,720.7646,724.1606,706.0731,689.061,700.7662,703.0355,690.0121,701.4554,729.3185,743.7816,712.0578,630.538,656.8027,753.6304,733.7875,697.0289,712.9249,702.4186,746.9443,778.2484,754.9285,766.3945,778.9489,794.0407,753.4668,772.4297,790.4401,773.9731,754.8464,717.124,743.3545,772.213,764.9553,774.193,766.4651,762.9979,772.1235,775.3788,779.2611,777.3251,754.4232,754.5695,782.8275,788.5203,780.1157,777.9493,794.9009,795.6051,770.6541,757.0182,762.6074,786.1835,826.0311,833.6032,799.5243,780.131,785.4977,790.3889,781.1121
751.5771,754.3801,750.6932,747.0063,713.7009,737.3141,747.5707,741.6406,765.4522,775.2186,782.3966,772.3552,746.0878,711.3835,697.2866,734.1307,749.5135,745.0256,751.7357,764.9393,764.9462,752.36,735.9096,743.1599,738.0024,737.2175,743.621,730.4156,730.1035,746.2985,741.2312,713.0917,714.7682,728.5394,715.1718,718.3084,734.6956,689.1759,671.1101,700.0408,722.1674,710.347,675.8147,685.5566,705.4841,699.0715,687.155,705.5676,715.8187,726.071,736.6464,755.751,765.083,764.4174,782.1816,792.1968,764.1604,725.708,734.3278,733.8542,740.4978,750.2983,728.0804,736.5957,740.0585,757.8302,730.8628,745.0601,758.0167,744.4709,742.6427,729.2261,716.855,718.7032,719.1615,708.8064,711.0569,728.2964,719.9595,688.3409,629.8934,658.5632,770.4569,766.2089,740.5786,724.379,734.4153,742.1577,750.1885,759.9556,771.904,783.6001,790.6886,771.8483,758.5939,788.8588,782.5518,791.8074,747.8567,761.1342,776.7902,768.6238,776.2871,779.3903,781.709,786.4375,786.6578,785.1354,776.9355,766.4059,771.4422,792.0021,795.8905,789.945,785.1677,798.4345,786.8195,778.8751,763.813,726.9905,742.7346,796.033,810.9542,796.611,789.2085,789.3983,795.0677,805.5513
794.8802,759.4801,778.6766,797.873,805.449,792.5025,810.6594,795.3473,807.2252,810.6887,812.3976,827.8266,836.386,775.8553,762.2401,803.9661,842.4287,870.8743,864.955,843.467,824.7744,833.4816,834.6471,830.1788,819.1783,802.5832,797.494,797.7563,801.1824,802.8968,793.9196,784.6247,781.149,776.3831,768.9276,757.8164,749.6262,719.7828,725.564,713.996,709.0156,725.4218,718.7079,720.61,752.3166,748.086,738.0117,768.1734,777.0992,786.0056,789.495,823.4415,813.3239,783.9993,797.5775,840.1701,823.2874,801.3474,793.5315,712.5569,698.9703,708.6011,761.2375,795.5431,796.5342,829.8027,763.986,762.0629,787.1768,783.3778,788.1023,787.2768,774.2973,773.33,778.7648,781.0553,794.8279,794.337,763.4385,735.3488,710.8577,729.371,805.8803,810.0571,834.9786,857.4536,767.9545,736.3878,727.7862,810.1459,810.9342,813.0269,818.0541,754.6752,755.8542,789.3062,791.4248,814.0879,790.7681,803.2451,817.2191,793.3484,788.9396,814.3468,805.9858,814.7785,815.8355,797.1851,805.8849,801.4517,830.3298,850.1634,845.6939,834.7659,802.7899,827.0082,806.5897,755.8359,716.6558,724.7386,782.559,809.7573,808.9396,812.2326,820.9099,826.5056,826.2656,840.2171
777.7388,765.3862,765.0565,764.7268,797.4086,806.2193,833.1601,807.9988,799.7313,798.1364,797.1398,793.2863,795.7311,722.3022,708.6791,739.185,785.8511,815.4976,772.4721,699.0407,729.6393,778.9514,788.4829,812.243,832.0342,822.5714,821.3776,838.2673,845.8693,847.429,831.0126,795.8421,784.9587,782.0117,785.7892,779.8448,765.9378,737.4397,731.717,733.6965,741.61,770.6818,781.3748,766.6753,790.7911,812.5638,811.7594,832.3804,829.9541,827.5305,825.8635,851.3442,834.6738,804.9661,822.954,847.4762,833.9438,831.9812,789.622,717.3112,696.6669,691.4243,748.9825,811.5042,792.4327,777.8401,732.4781,732.7437,767.3098,797.692,813.952,810.5354,797.6411,801.0275,804.7378,801.5011,817.353,818.3657,789.3872,744.8386,694.9907,733.0827,834.2292,846.5169,836.075,735.2825,528.8005,592.7833,674.9475,817.3594,831.6547,841.7902,812.54,725.5869,756.9405,779.9609,835.8896,838.9279,810.8954,803.6486,797.2742,774.3265,829.4559,839.6664,841.9854,830.469,852.9869,846.4939,839.4257,857.7957,882.8314,897.3831,889.0698,871.9573,861.1112,888.8394,857.1358,836.467,796.7691,756.8169,779.8818,845.5272,894.1456,883.4521,881.8235,889.515,900.7582,910.738
775.4636,748.5242,746.3911,744.258,758.0433,769.536,792.7129,797.2869,788.1912,788.2875,789.9315,784.7419,778.8798,718.0182,685.9188,733.5281,754.5626,764.6338,716.5786,639.0975,682.6206,756.5558,776.728,797.1515,780.1558,738.1591,743.1299,777.7428,795.2494,798.6273,808.2612,814.0937,818.0276,820.7763,820.6396,830.61,827.4537,773.7028,766.2187,778.7945,789.2982,798.7174,832.7504,819.3241,817.1352,827.3708,837.7513,866.2838,858.0381,849.8217,849.8478,865.9337,866.5279,823.4376,841.4638,886.2351,856.5879,793.9574,804.6701,790.9462,757.2242,720.6673,728.9986,806.7062,815.3584,755.3682,704.4,704.2452,740.6986,786.2307,800.3735,777.7449,769.9316,777.4415,777.6697,778.4422,791.7885,817.418,838.0726,816.2808,752.5288,779.5242,845.165,817.7517,756.9193,674.0466,578.03,557.2019,585.9988,803.6096,803.1407,795.7216,735.5313,699.3928,727.0547,648.5016,783.7349,818.237,779.4289,786.3174,795.1276,798.718,836.3262,841.821,841.2973,828.2872,826.1006,821.8881,838.4903,858.9156,858.4294,864.0818,862.5063,854.6973,853.0371,859.8583,846.438,871.9832,803.1431,723.0361,704.6293,777.3841,882.1627,874.2854,883.7648,909.093,916.6824,907.2717
812.5423,773.7006,756.1181,738.5357,730.2117,687.7351,759.3139,762.3678,756.5602,749.7795,742.8892,756.7708,757.9504,731.9295,686.0709,724.0436,733.3271,727.3063,652.5586,543.4474,625.6551,735.9727,773.9756,780.0017,744.878,685.8809,658.0492,662.0148,692.2796,750.8846,795.2947,825.2208,848.862,853.2953,844.7346,844.5031,850.7463,819.4419,802.6982,800.7183,798.0239,801.3749,838.1866,829.0827,805.5735,816.8,802.7859,852.5568,861.1899,869.7926,869.8318,865.064,871.1619,830.975,839.33,892.5386,824.7467,807.665,796.9067,773.6949,744.0008,713.2733,731.8506,784.7276,807.8557,781.3308,738.8645,714.9437,735.617,777.7814,788.9681,778.6269,799.2231,801.2877,800.9955,801.7304,784.3926,804.2484,816.0828,837.9539,855.2021,835.3471,819.1597,784.4111,717.0754,661.4343,586.175,510.9536,504.2966,764.2706,754.0168,743.1033,720.8442,645.3636,674.5506,597.4752,761.8624,758.7686,758.698,769.4677,780.6783,771.6621,793.8535,803.1791,809.9995,789.1788,772.2708,769.5712,790.6949,773.2807,748.6795,771.8784,787.8093,791.2274,802.7383,819.6532,818.5746,845.1438,768.3103,717.0712,713.137,734.7661,820.75,857.4044,874.4713,868.8323,867.3628,850.1396
752.0148,727.728,688.2009,648.6739,634.4973,614.9801,627.4166,651.2332,677.2913,679.603,678.4227,687.9952,680.7197,682.2698,669.6946,677.9246,674.2892,680.189,603.5961,484.0171,575.5714,684.3397,702.1485,702.4358,682.7505,626.4489,578.8441,558.0515,575.169,639.0008,710.4859,778.1052,818.1797,832.6322,835.5098,844.5071,852.4676,842.5276,844.0811,827.2158,814.9438,822.9877,839.5695,844.6716,786.6512,816.5222,795.4294,830.4155,822.4938,814.6703,834.4139,841.0948,865.2854,837.9598,835.5961,860.299,780.9095,766.2144,793.558,780.9978,734.9037,682.6437,706.4806,711.1489,696.6314,770.0789,767.2815,735.416,750.9802,784.4956,779.5884,773.882,781.6626,781.9844,789.5178,775.0798,756.9575,767.3708,765.2811,784.7994,803.9204,777.6094,783.357,751.3034,691.991,590.9996,435.9291,411.5526,444.027,691.0041,678.4074,672.8656,708.1878,607.1043,633.074,644.8884,733.7675,723.6669,751.9089,759.9495,767.1362,732.979,774.4,772.8016,775.624,751.0851,734.2727,735.6062,719.8918,704.6197,682.8284,712.2873,732.1934,736.4544,748.8848,770.2248,780.0842,791.9925,708.8176,649.5307,655.391,676.8578,737.0366,781.5596,805.5626,808.4104,808.2378,793.5181
714.6353,708.2441,680.2516,652.2592,638.4196,628.4104,622.8274,651.0728,660.044,663.7525,667.0782,673.1424,661.4548,662.1009,653.253,663.7789,668.499,672.2713,584.2489,451.514,557.8757,675.0636,679.4625,689.7065,628.3295,499.5596,469.0773,527.0041,544.7429,570.5139,664.7654,740.7908,791.4247,818.2119,804.1962,801.496,822.8583,804.3063,822.603,800.7767,780.2476,769.9844,790.0368,831.9835,779.9639,781.0674,783.0929,818.4445,819.2364,820.056,828.6509,827.9523,839.0723,844.4996,869.3284,876.7386,746.515,687.5915,749.6819,828.8311,801.5526,745.6399,625.1981,651.2641,687.664,761.5159,793.6356,747.2922,726.9205,738.0635,734.5506,753.7405,750.1876,727.7126,744.2975,746.3076,734.2045,744.7067,753.0637,759.98,762.7596,761.9194,749.0568,717.2546,684.7184,576.2979,433.9353,528.2762,617.3266,673.0958,681.0967,691.1744,717.4985,739.3054,711.6761,673.7733,707.2952,749.1396,768.1484,754.0302,738.5742,733.8999,771.6022,707.6951,717.7612,745.1468,734.7305,731.8552,713.0388,700.8895,696.1172,732.7357,747.3367,743.3105,756.1458,761.9789,763.023,784.6457,674.7076,604.5773,629.8908,666.8677,742.7421,791.113,810.3337,794.5588,776.2438,764.2756
661.1211,652.186,647.7619,643.3379,650.9466,652.7654,643.9266,640.4462,648.3687,647.774,645.7482,674.3317,672.3304,671.6437,662.806,661.6482,666.7204,683.945,591.4775,444.3772,557.7961,656.7221,655.0271,672.6022,609.3252,510.4876,493.0286,518.5607,530.394,597.1597,692.6044,729.2311,798.8203,826.4944,808.8738,803.8267,818.5473,800.7479,810.2647,776.4187,750.8148,759.4549,781.3694,837.7416,830.5497,840.9636,806.9478,791.8023,801.7275,811.703,835.7938,811.3527,821.9684,817.6418,816.3117,829.3217,689.8205,644.9533,691.1111,752.5448,710.5235,640.3336,552.9503,604.4978,649.7225,702.3002,729.3098,715.2056,708.6102,713.7646,716.2462,745.8306,750.7361,718.3178,718.5581,729.6509,734.4131,730.9111,691.2352,646.7511,639.6412,706.2801,727.1561,702.99,735.4468,743.6657,531.1482,606.9468,675.5615,708.052,724.6454,734.203,695.7089,728.0964,736.9691,765.6191,739.1337,765.504,768.9004,771.5328,774.1509,763.9799,738.1039,681.5236,675.3878,726.676,731.0021,754.7022,729.9777,733.0302,719.9495,737.7133,742.645,732.7307,760.2758,774.4673,763.7917,783.1549,716.0627,663.3947,652.8671,691.0908,776.8035,791.7342,791.4743,772.6002,764.7999,765.6601
