0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
459.9461,509.7751,543.6564,544.698,539.296,493.8904,464.5482,451.7724,433.1799,441.1471,471.4969,481.755,476.5332,448.6618,398.7362,407.5354,471.7866,509.6783,524.217,547.2743,552.4824,527.5721,516.5859,519.1884,506.4451,510.0374,502.9005,397.1947,402.9994,470.4185,467.5391,454.6578,474.0906,604.031,515.1038,505.542,476.0566,434.2236,436.476,490.9433,511.1974,504.4016,499.3243,494.7443,472.4825,495.4135,490.3399,478.6166,496.7215,515.094,491.044,455.7456,468.4076,469.7408,451.7812,470.033,451.7701,441.62,481.7604,456.3392,487.4819,495.1295,487.1526,483.6464,498.3884,507.6692,493.1666,467.9619,449.1151,462.3204,488.8288,477.4038,500.5992,500.4822,493.5182,477.648,471.4905,469.2613,473.1737,510.4515,544.0288,545.4802,510.5757,493.449,526.6415,519.4443,479.8466,469.5866,465.6274,470.9741,502.1892,504.9333,472.3941,465.7447,486.1491,511.8047,536.6088,546.6218,543.134,527.1973,498.7548,473.5792,470.4314,510.4941,505.4869,511.0264,516.5659,493.4802,483.5602,482.4177,477.7945,469.746,461.0462,472.0934,503.0784,519.4224,507.8561,490.3276,478.8935,471.9696,468.9643,490.7537,500.0623,413.8492,454.3406,526.503,507.6523,482.2414
468.5175,511.7372,524.2792,513.6396,494.1819,458.2285,442.1534,452.9068,464.9182,451.7861,445.5042,469.7321,472.8105,452.5906,408.9025,386.8602,443.8925,496.5542,506.7756,534.3569,560.1591,539.5139,518.8663,512.0878,487.3369,490.3251,495.0073,426.5956,435.9311,488.9402,477.3961,461.2898,474.4634,587.437,516.1671,508.7597,471.8085,421.7451,423.6065,475.1939,517.739,512.0488,496.5607,480.6396,474.254,490.4954,497.3452,472.726,491.415,510.6661,488.9984,469.1071,512.9858,464.8965,469.4493,478.1362,471.7121,469.4415,486.9483,439.2386,470.1567,485.2427,472.1307,469.2394,505.5439,524.7179,508.9669,478.5039,450.5402,447.7075,476.1119,477.1953,493.3196,489.735,483.5417,474.3008,470.0773,471.4415,482.6827,505.7631,527.2551,533.498,503.3876,473.7916,517.0377,490.7047,501.6188,479.4695,449.984,472.9161,499.5055,499.5744,494.6276,491.195,486.2041,504.3841,541.3339,547.9902,524.9343,515.3874,516.4892,507.7942,476.9825,518.414,509.252,511.8925,514.533,486.0675,489.8446,489.1836,471.5754,461.6466,454.3614,484.0285,509.4521,502.5436,482.138,477.0932,475.9984,469.9973,470.5986,496.3817,501.6633,393.5486,417.7426,475.2608,462.5085,443.8891
469.4297,527.4565,529.4324,501.2259,480.8478,465.4727,448.1042,457.9839,497.4711,490.495,458.8799,457.8883,472.5316,451.5331,396.6001,392.5659,457.094,499.5374,508.4476,525.9481,546.6693,533.7786,521.6388,521.8011,503.5515,442.4844,479.0415,447.6805,448.4606,484.2498,471.2408,453.2859,471.4321,522.653,490.5137,507.6261,476.8088,431.3153,435.5138,496.6985,529.7884,516.5776,507.8322,500.1839,468.7659,483.3367,501.6472,482.9993,497.256,512.0086,502.8073,471.2701,506.5033,460.1438,470.5482,493.1665,477.9174,469.057,495.2547,442.4121,459.341,490.3497,477.4949,472.6014,501.2446,523.0702,501.7218,469.3936,446.5479,457.3958,473.2614,469.562,486.8851,476.711,469.2076,468.4259,465.5562,458.5316,479.8833,504.8868,527.5264,529.8231,510.688,468.2113,486.6187,476.7925,499.7485,488.9482,470.8665,489.8965,499.687,507.7987,494.0771,477.8415,471.9031,496.1425,542.0792,550.287,528.3815,519.47,512.6583,501.0976,480.7074,505.0268,503.61,499.6992,495.7885,505.5637,492.0437,496.3391,466.6025,464.5852,471.1203,487.0797,501.7972,494.863,473.6641,469.0443,480.0759,490.7163,501.896,516.802,490.8397,386.6539,391.8164,452.2414,442.8044,430.2586
465.5509,510.1909,528.9467,478.1035,435.6054,424.1082,412.41,446.531,498.1101,487.1797,464.5143,452.6004,460.7268,442.5724,380.7214,382.6634,465.3273,518.5182,541.9269,547.1595,556.2638,546.5928,537.4988,539.9165,514.3448,386.9901,458.5623,474.0235,474.8546,500.1247,489.3178,478.9754,477.0486,485.494,486.7725,511.4998,483.7806,442.9393,434.9756,488.116,530.1092,524.2869,510.7751,497.0511,468.6776,485.4719,506.1452,501.3792,508.4181,515.5591,502.4091,443.9672,514.7,448.6378,471.6522,495.6048,480.1119,469.6217,488.275,452.8312,458.2564,504.8387,475.5901,460.0221,502.8934,534.7441,496.5759,478.3948,459.5839,451.8919,467.4864,467.8619,476.3796,460.7705,447.8919,446.6953,450.9225,451.5265,490.7214,508.8281,525.2839,527.8737,519.2808,447.3756,462.7614,499.8867,480.681,469.8303,461.9911,470.695,493.6979,502.6321,484.9485,472.2146,471.5312,493.6448,533.8195,544.0889,528.1096,523.2246,513.2232,504.0113,501.7045,515.2916,498.2525,493.3973,488.5421,532.9382,539.0151,554.5879,520.1749,501.8371,489.8365,498.8297,513.2604,501.8398,484.7141,497.0428,528.1228,550.7794,564.5582,570.6495,513.4522,380.2262,375.6966,447.8463,450.3479,450.9317
477.6324,506.3711,514.1199,459.7974,411.0852,374.4688,391.6187,466.7788,475.3122,465.1241,470.9503,462.4823,469.118,458.5667,385.8728,372.8592,453.7289,510.5703,545.538,543.5265,548.4113,549.1277,536.9796,526.9517,505.6794,351.8755,441.9922,491.1916,486.98,493.9795,471.7579,468.3577,458.2393,437.5733,466.6301,481.3675,464.2636,441.5731,441.166,483.0543,523.6265,518.1899,508.9427,499.9196,462.1592,470.193,492.4891,506.5526,504.9505,502.9736,490.9046,433.9148,503.8247,451.2708,460.8449,493.7309,486.3785,482.3075,495.2263,460.8029,465.6148,491.034,480.7488,476.254,504.9393,542.0414,493.7536,478.2721,463.2382,462.1722,482.5739,484.0553,491.1519,469.2545,448.5642,445.0741,459.4342,455.1763,479.3176,505.0429,528.0959,528.8588,514.9717,457.0433,475.9892,500.1913,486.8217,477.2485,469.3282,492.1884,498.7046,496.3437,479.7474,470.1846,473.2812,494.9883,535.8746,550.2971,530.2923,521.1807,515.0813,507.0277,497.9232,516.2006,492.7739,490.4537,488.1334,520.0572,522.8952,536.9172,510.2805,491.9373,477.5766,502.9882,514.1747,504.7796,484.6587,493.1414,522.7009,537.4276,545.8286,549.0775,497.6196,377.0914,377.9741,451.4044,469.8586,481.5872
492.6697,510.2533,507.9696,481.699,452.6262,413.7048,409.6058,458.9718,469.762,459.0347,465.5496,459.4573,470.1032,470.3758,417.7191,386.0413,449.8865,507.4535,532.4172,524.5153,541.8497,542.2981,529.1673,526.329,506.0707,370.2647,445.9192,500.1434,499.9739,503.532,478.5104,457.9254,459.9579,430.4986,467.9841,479.8273,444.9847,402.238,419.7268,478.2115,508.0078,509.3189,495.8575,481.0792,469.6808,483.5753,509.8868,480.5173,490.797,501.7451,491.4298,432.6017,504.4236,467.7562,466.4862,490.4531,488.0477,485.3188,481.4323,481.8235,465.494,493.0029,483.4745,482.7303,517.9307,540.7259,515.6271,487.8887,464.5556,462.4601,478.6314,489.9298,501.4929,477.6023,454.4216,452.8054,477.1712,471.3657,479.0276,502.0544,524.1765,535.4163,495.175,465.7421,492.0448,519.4127,485.9214,472.1031,463.5239,473.5831,493.2671,506.3731,484.5663,470.5441,477.0596,491.3933,527.6307,553.358,536.6068,523.8529,513.0339,501.7058,494.6357,515.6881,507.4068,500.9588,494.5108,520.2137,499.4548,512.2424,480.1726,473.5764,475.5608,520.5437,520.2789,517.5361,499.4496,481.7397,499.576,516.0402,512.5667,508.9885,482.0079,412.725,394.2758,441.5137,459.7854,463.1544
492.4182,511.8741,500.0765,479.0345,479.7562,461.4571,434.1205,437.2624,461.7762,430.8492,423.4501,448.125,467.7593,472.7344,439.1197,411.1625,448.3662,494.2013,520.3431,525.2474,548.9501,536.051,517.061,516.5371,491.7628,398.1428,447.3283,502.0796,508.4705,508.3387,477.2118,443.9825,468.1011,474.1362,494.677,501.9855,454.6142,396.114,417.0734,483.9032,508.567,514.3853,500.0151,483.5506,470.1758,483.0055,502.943,493.0724,494.1815,495.3893,478.4248,453.4649,498.4621,463.7091,461.7332,493.8195,490.5417,485.6144,475.2492,501.5374,472.8257,489.2008,481.2987,483.3183,522.1638,539.3143,521.8355,493.2924,465.6793,452.0504,465.8034,479.819,493.2917,480.4565,468.9646,467.919,478.6785,480.4009,484.1723,495.3624,508.5642,532.1743,477.4015,477.7265,487.0359,530.9084,479.5941,465.5976,461.1046,460.791,490.2998,507.446,478.016,464.9292,480.412,489.4789,517.0621,546.2711,524.8959,507.7794,503.4517,500.4023,503.5562,513.7057,523.3253,508.3842,493.4431,510.1841,495.4849,507.142,492.1194,487.303,486.3962,513.763,518.8562,522.8935,495.3759,477.6419,511.7379,536.7111,528.3427,525.2416,503.4734,416.3808,356.9775,396.2234,422.5868,435.9769
487.2306,511.404,506.557,468.8709,465.5898,462.4072,433.3912,418.9848,454.176,418.5959,397.6595,432.2068,441.4809,479.243,463.4296,423.006,452.4821,493.8268,528.0816,535.171,537.15,532.2637,523.842,519.3794,490.8771,415.285,464.0682,502.6333,501.4646,497.7047,469.9322,451.9557,454.7681,473.828,484.9552,481.5176,446.7322,405.5804,417.8361,477.3309,494.3966,493.784,490.2544,486.5504,462.534,482.7188,507.1082,485.6543,485.1149,484.9163,470.5803,433.1238,492.3654,467.6148,480.8529,480.1241,474.2272,470.7537,486.6071,501.442,479.0736,484.5475,471.1497,471.1821,517.0833,524.8804,509.6125,488.3318,460.9329,440.9665,467.5388,468.8126,489.4567,484.7134,475.7757,472.9091,491.1799,492.9799,492.3492,497.5928,504.011,516.5048,483.51,496.6464,491.5416,511.3759,477.1083,464.0641,456.4347,461.9576,485.2155,486.8781,469.5952,464.4592,470.8552,463.9441,496.471,545.0294,513.6993,497.5807,490.4853,489.6719,512.4174,529.2358,518.4283,505.6694,492.9106,509.6883,499.0778,515.3091,497.2094,484.6055,475.0868,465.4249,490.2519,511.2118,488.9862,472.8935,504.0722,527.5268,511.1927,510.7241,503.0782,414.5846,370.2994,436.6566,433.2002,422.9187
491.4234,497.2997,497.5563,467.4562,479.8009,470.937,435.8126,420.274,441.6643,419.161,437.5237,465.6084,466.7166,488.6387,447.9957,393.5903,436.3739,490.1354,525.2585,528.1675,529.3715,529.8917,523.6509,518.8764,474.4876,430.3111,471.3617,500.2489,504.9959,508.2984,485.5056,465.3108,457.3313,479.9264,480.1841,474.1852,459.2158,442.1462,439.652,483.7032,507.886,495.8284,501.7686,510.1985,472.9524,470.9413,505.1193,479.693,480.9058,482.5334,464.005,438.9514,485.8179,465.833,479.4328,490.6282,475.485,467.7398,506.7239,484.5969,479.3242,491.6739,472.4051,469.1844,517.7941,516.9809,509.3691,481.4785,454.9743,457.4088,496.6104,482.5638,493.704,489.5496,475.5135,467.0413,487.0479,468.854,475.1814,486.3428,497.0042,502.6864,494.4658,488.8612,495.8346,501.711,469.5644,460.5607,456.8919,464.8254,484.5916,452.6526,464.6604,481.2206,466.7987,451.1265,492.3576,548.6069,514.4108,494.6833,482.4002,477.5726,507.2529,555.3429,510.5479,503.0385,495.5291,515.6405,510.2099,522.707,496.7855,472.0811,449.532,437.3459,466.8388,502.4821,483.3835,462.3458,484.2802,504.5836,504.0054,506.7596,487.4269,407.8161,377.1674,465.7581,495.939,516.643
485.7915,498.0023,488.7224,456.5896,481.6375,484.6346,457.2829,439.1776,452.7986,435.3439,445.3453,463.0898,486.5635,484.7433,423.1864,382.9537,432.958,491.8576,529.5923,530.2158,525.6042,520.1786,515.1127,515.7714,476.8633,440.114,478.6212,499.0089,503.2554,509.4962,487.9801,478.9709,470.7365,471.9797,463.1715,473.8633,468.7565,458.8696,445.9593,464.1783,504.6483,503.8386,501.2072,499.0073,461.908,442.6868,496.0244,485.198,494.5361,504.1953,496.9851,454.624,491.4871,466.0413,467.9722,499.3072,490.4181,490.1315,533.6221,451.5925,479.9522,496.463,477.8849,471.1843,504.2227,508.29,511.0,483.3049,464.3519,479.513,498.1082,484.0994,504.647,496.9751,484.0497,481.9976,492.8081,452.2494,464.5743,490.9233,514.9918,519.8575,509.5338,455.3336,492.0467,499.441,466.4832,463.7248,467.6451,464.6733,479.9124,434.0043,459.9159,487.9786,466.3682,455.021,496.9028,548.2775,524.4758,498.6856,484.1065,474.6198,495.1851,555.796,508.6326,498.4724,488.3123,522.1368,518.7049,513.2594,491.9933,467.1436,442.1227,437.5985,455.1143,494.0018,482.7051,464.2997,487.157,507.8433,513.8754,515.9977,480.4011,391.9441,383.3101,472.7895,478.0076,476.436
