0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
618.8228,644.1111,635.1479,623.52,606.5745,594.5217,615.7507,668.7424,626.6715,640.778,665.0457,642.1676,635.0639,649.4722,633.9475,652.5845,655.1397,672.3333,694.934,627.4113,629.086,618.4641,637.244,642.4487,667.795,660.1804,680.5034,685.8049,665.2541,680.0628,656.996,689.8103,644.2319,574.3132,611.0986,610.6461,663.0242,629.4272,564.1418,548.2245,565.2418,628.2541,629.9703,554.6917,495.5388,494.7506,526.9916,514.9457,526.9775,510.3405,511.9774,517.3622,496.8782,515.8705,486.0121,441.4245,472.9359,542.8874,522.8676,457.031,457.3604,512.1933,480.7751,506.5237,532.2013,559.0255,568.4434,533.3734,474.2322,437.7923,505.5779,525.9449,475.3271,424.1407,461.2735,458.2168,451.7479,460.0375,550.6044,556.6484,532.2524,525.85,524.2805,516.0949,529.1135,544.9194,539.7826,511.7392,488.368,492.6858,514.5225,558.592,544.8478,520.2864,506.7594,528.1761,495.2589,525.1693,517.0394,514.6679,510.661,494.4182,489.2812,372.6505,407.2549,406.505,422.2352,430.8263,399.5288,398.8059,429.3774,426.4535,420.5088,417.2195,454.5051,435.04,440.9251,392.4753,383.6899,389.9297,387.7243,437.638,460.3466,449.173,442.1265,450.1195,500.5849,472.963
631.4666,637.163,646.5999,617.5758,591.2812,602.0513,626.2075,673.848,632.559,648.7363,654.5168,654.0995,656.2039,642.5715,632.7527,656.5603,659.8524,649.1842,648.1429,614.7927,654.4044,654.3241,639.2497,638.4689,677.6514,673.4556,682.0056,667.7803,639.0588,670.6108,656.2866,687.532,645.7534,600.8892,642.6771,645.6773,651.4032,601.6302,569.056,583.7593,589.8265,604.1126,558.585,561.7386,528.1523,495.2018,536.0106,517.0701,520.5553,479.3725,457.8272,489.163,534.5805,553.2846,429.4224,398.8542,402.7227,458.2655,498.7061,439.4547,495.4565,479.3687,437.4933,456.8159,475.3429,504.2673,501.2043,511.3942,428.9062,391.4681,440.4854,462.0092,409.3615,349.2814,356.9872,372.8984,365.5113,416.3154,485.999,462.6945,406.2437,399.8625,398.2231,400.9598,418.619,425.243,426.1937,400.8769,361.9623,396.161,449.0198,476.5452,472.609,450.1317,427.9398,438.493,421.9496,439.3256,457.0648,446.3547,440.4955,421.4366,402.838,290.7946,296.6266,302.5572,313.3502,318.2866,326.7015,344.4688,401.6525,388.9137,348.3315,374.7869,416.1551,399.2788,407.6549,391.8947,375.4579,397.7399,363.5812,388.1533,431.3296,439.7011,433.794,454.2972,499.9068,469.9396
655.4144,644.2839,651.5281,621.4857,612.2173,621.3386,637.7723,690.2712,666.6422,643.3201,647.373,675.377,672.7845,667.1803,657.1191,673.5207,670.048,621.5134,612.3226,615.9837,660.0655,687.8411,661.3019,676.4398,697.7546,687.2474,670.2602,651.0454,630.8977,675.3592,700.3826,706.4497,668.2025,645.9423,680.7047,664.8445,613.1136,583.8502,589.6473,660.3702,660.6354,586.1601,538.4954,609.7853,623.864,559.4855,589.3372,605.2856,608.946,550.53,507.9596,504.8855,611.743,657.7784,437.5597,358.1617,303.778,400.2667,503.322,522.5751,611.3749,484.8329,438.2227,460.4056,498.9185,534.3805,523.7018,501.7831,369.726,323.1274,402.0245,506.7053,460.0279,382.9658,350.8988,295.8862,277.0806,363.2884,476.3559,418.5174,344.1135,301.3849,285.4153,292.6323,299.9414,287.7733,304.5515,313.0716,300.3153,336.3775,387.6732,358.3858,340.2634,347.8127,306.5536,282.8392,302.7575,307.7299,318.1253,312.576,308.0711,293.7707,293.1293,380.1772,361.859,351.2277,361.5111,349.576,389.0861,388.0476,465.283,427.5187,372.4795,402.8059,459.8101,450.4562,418.0758,452.1549,460.3387,496.9291,452.7836,422.0597,437.0368,481.4561,503.3975,528.3688,517.9047,495.5159
670.0389,651.2441,656.8885,645.8217,640.2394,640.2783,651.6175,706.1757,684.4974,646.9849,655.2179,683.1773,677.8886,662.7892,666.6278,670.6519,661.6172,620.6574,611.07,634.9529,678.6322,700.0897,683.1026,703.3363,696.7127,685.6885,674.6283,661.3867,661.1606,705.6933,711.8571,701.9005,664.531,644.1904,666.7379,641.6782,604.0873,591.3679,614.7391,697.5493,682.5187,587.5684,538.3179,573.342,608.0307,590.1302,597.4445,627.8461,654.0248,618.1697,584.6598,540.7227,633.6138,645.7272,455.1713,378.3551,356.621,489.6746,582.0365,615.8475,619.1915,475.9606,435.4444,504.309,597.3303,614.4514,617.4194,513.0888,297.9023,279.9289,415.3391,615.7618,642.9637,545.5859,446.5017,281.67,264.7171,338.6828,512.171,505.8448,481.6645,438.9069,388.0505,409.0222,422.981,421.9549,442.5664,429.6586,421.426,408.9392,426.9758,396.4942,396.3531,405.0375,343.2081,309.1384,341.225,367.4998,367.0707,393.0808,372.0123,345.9636,370.0868,461.2734,488.2354,473.9055,440.06,433.7481,466.762,481.3175,515.2363,474.4895,450.1238,521.1822,536.0927,504.0026,446.5636,465.1581,493.6079,534.7399,496.7933,460.8163,492.0218,513.2485,533.0721,528.743,476.8819,481.2927
646.8118,644.7917,646.4976,637.9679,639.2832,646.2123,663.3677,688.3203,666.6588,653.308,646.4595,658.3434,672.1117,643.2932,658.1902,668.8486,681.879,664.5754,631.804,667.7571,704.5301,692.9949,673.1978,676.7289,677.5781,676.7771,661.3152,632.8426,637.6357,645.4129,639.075,639.55,606.6849,618.5897,639.167,638.1269,616.9572,604.2272,634.6151,666.1188,656.3052,589.4538,534.6801,556.7513,568.1657,598.1509,580.2867,588.9413,633.726,613.7523,611.9093,570.8168,588.4384,513.7692,412.0782,414.6729,501.0709,601.6162,631.956,596.9191,529.1641,427.105,432.4756,535.7912,632.7469,625.9839,605.1126,529.3826,295.4135,304.2001,424.9649,611.7125,673.8739,621.9811,489.2865,312.38,303.0742,384.9733,578.9956,573.7603,562.4707,540.6432,511.2439,503.4658,519.8183,526.7035,574.1466,546.9265,503.723,467.2534,476.3296,475.0073,530.8408,527.3963,491.6572,431.2166,470.1237,511.14,515.6567,564.7955,525.1644,473.7871,470.2527,430.5422,472.3967,481.7834,405.1964,397.3875,426.4578,452.13,461.403,447.8013,442.0641,526.3904,499.7404,464.3036,437.7862,435.3173,445.487,480.133,437.3532,428.9557,498.17,451.2482,471.4468,416.5489,407.9357,461.1063
611.9814,615.0158,609.5352,642.6624,652.1194,644.618,658.8188,672.8445,663.1253,655.7599,650.3298,665.1995,659.789,642.6372,653.5522,677.1223,713.8806,684.5584,644.49,649.5217,668.2367,675.2026,663.3174,646.1756,664.5345,667.2958,649.5679,607.5294,600.0984,574.0295,604.8152,633.3693,617.9102,641.3947,639.4991,654.7381,625.0893,630.6315,657.1785,663.9686,675.6958,617.5203,589.7856,624.9836,602.8461,613.1367,570.138,569.9368,624.9315,616.3669,638.0673,612.207,543.9974,427.2465,378.3655,416.4871,561.5216,621.1138,607.2051,557.2702,504.4017,404.0292,452.8094,569.0566,608.1768,546.2528,492.6877,466.8881,357.7304,409.0639,470.2443,568.0159,580.619,580.4714,470.307,341.0709,346.7531,435.7771,591.0059,493.4142,455.241,443.8711,460.1764,402.8273,418.8628,443.6264,476.3916,483.5765,464.5684,423.1463,430.054,417.4503,495.7425,476.8893,478.4673,447.7811,440.9689,467.4491,480.4053,534.1921,536.1953,465.1584,449.6966,419.2643,420.1305,402.3223,401.4771,386.8558,386.9655,367.6608,353.0873,348.4305,369.6842,365.1208,376.8032,340.4139,354.5248,395.6344,391.5512,377.7423,341.2846,366.5472,416.5906,362.9132,408.6844,370.8285,412.4236,439.9122
606.2872,600.6522,598.7586,662.158,669.3461,656.0609,669.9911,687.6274,682.2072,663.3514,651.2883,680.0124,660.0464,640.7373,652.54,679.6991,722.4012,680.2751,633.7385,620.5397,651.8999,675.778,674.3385,647.5024,661.329,669.3441,674.9756,647.3044,617.0449,584.8323,630.2987,668.921,664.975,667.4229,646.7241,658.8862,628.7679,643.6073,671.2311,679.7267,681.5814,633.8173,623.7748,662.1717,643.2194,614.0348,573.5649,569.0569,617.5845,620.6089,626.1608,599.9357,512.6697,408.4301,403.3663,454.6622,585.7142,587.6959,581.9683,538.7441,510.6505,413.5075,466.0866,575.4319,588.3961,491.6454,424.4392,381.7944,362.3448,463.8351,553.1739,581.2947,539.3267,549.1243,448.3873,344.1707,370.5565,458.3085,553.1025,422.0115,392.0546,393.6227,395.9778,339.8268,353.3029,400.923,389.5612,414.1172,419.5341,394.4692,392.0583,358.8237,428.8386,371.6595,386.2378,422.2986,390.2742,389.0613,421.3546,460.7268,490.6607,438.6817,442.2875,400.2593,378.9311,341.7661,392.924,398.8188,377.6487,354.3838,320.7408,313.7114,341.6721,296.1561,340.6396,299.7216,322.7379,379.0829,354.7913,334.5664,324.6822,353.4612,380.7715,363.5919,392.9983,405.0213,459.0309,437.9343
606.793,607.0168,604.0982,657.0623,667.7839,660.15,683.3198,707.3277,690.1171,653.2457,625.7419,657.9565,669.1901,653.4334,662.0504,689.9179,720.5588,689.1638,639.5019,622.2133,666.0029,689.8448,686.8551,659.5309,664.2723,677.9051,704.1888,700.9583,652.1846,615.307,656.5119,672.5112,657.265,640.9834,630.6316,634.814,607.2728,632.7416,667.7209,666.7574,643.2529,619.0013,626.4963,678.9606,675.2258,622.2073,596.5648,582.7426,625.8792,616.4592,591.7308,539.038,482.2607,419.8683,469.9027,549.6218,635.3782,576.4777,576.1046,524.2264,515.4485,433.318,471.5206,572.014,591.6157,516.7953,439.4077,368.796,348.638,447.2185,636.7548,615.6672,512.9819,531.3474,444.5928,353.575,384.604,491.3553,565.5588,461.5316,454.2366,433.1401,407.0907,356.1926,348.7187,394.4454,386.8704,431.701,423.561,439.8348,419.5321,366.1478,412.0457,336.6136,367.0051,412.3455,433.3694,395.4688,422.7565,438.8122,448.6046,447.2862,450.5257,396.9015,367.0903,361.5391,379.4361,410.9019,415.6073,411.6268,403.9199,391.7031,388.2963,361.2106,408.5628,402.7361,404.2717,420.5768,361.0229,400.108,415.0468,411.6756,445.1276,451.9189,453.8116,470.079,506.7119,491.2514
611.3983,616.8765,601.2377,634.9769,626.7028,634.5481,686.4871,703.564,679.6127,642.1595,607.5815,633.4633,657.554,651.8071,662.5601,689.1532,708.8679,694.9762,656.606,636.9495,664.2952,675.5479,671.7733,642.4489,650.1547,668.2546,688.1642,664.9967,618.8388,592.1769,618.4097,611.2505,617.743,598.4696,596.6675,593.7339,573.7822,601.7748,656.311,645.1262,624.2968,610.8317,605.1055,658.684,673.0378,621.0499,598.1771,608.9904,628.048,515.7908,464.9393,419.8727,379.4627,455.8181,551.9492,605.7877,604.0494,461.3435,472.0244,454.1349,501.3353,411.3026,423.3074,483.3969,491.6461,544.1797,516.4,432.5115,354.3473,420.5445,621.0004,601.3751,446.1342,415.363,366.5818,335.093,388.4847,499.9317,574.2569,530.6425,494.7638,459.016,454.6556,388.1519,409.0289,441.6456,466.2665,483.8564,471.4065,481.4799,460.7229,418.6765,412.2639,365.7456,375.2369,446.2317,488.9716,400.6373,388.2986,408.0462,423.9794,458.3377,450.7593,418.2833,418.1388,412.2429,393.7674,432.4092,472.8367,502.2758,484.7735,450.3644,444.8878,435.5072,465.4006,509.7369,518.7275,473.3088,439.3807,467.4027,491.8583,489.5281,515.6912,538.3961,526.9373,527.4644,528.0704,540.6531
636.1685,631.2017,615.3269,617.2802,597.9026,623.5354,661.2089,670.1688,670.366,660.5962,632.6895,647.9601,663.5567,655.7341,656.096,677.4753,700.5911,700.8769,675.3992,667.584,668.0602,654.3938,663.549,634.6346,645.3264,669.5946,676.0916,631.7234,588.5463,589.2041,617.6287,614.8026,628.772,613.4647,607.778,613.23,590.0496,592.7057,630.9589,626.8095,606.105,563.5963,545.5021,583.0797,635.7083,636.7888,613.3143,632.942,602.0813,390.5957,339.145,304.7885,306.6125,469.2994,543.2393,565.235,453.0305,299.3382,268.2706,295.4516,409.0337,297.7583,257.6884,267.8318,293.7316,486.6694,576.1235,536.9821,325.5877,333.2711,478.6532,559.535,444.2013,321.349,288.2791,284.7995,373.9016,500.2521,562.6432,536.6089,459.8162,438.8035,465.7389,439.0782,512.2609,461.6276,478.3835,468.5229,494.0814,462.7992,494.6546,500.0916,442.3572,444.5639,406.5875,487.7971,526.1476,420.4077,376.9326,411.4104,440.8487,482.0644,450.6674,486.5213,518.5821,507.8601,473.1793,483.9447,526.45,561.179,535.9023,498.9956,496.2089,500.5016,510.9254,560.9525,567.7822,527.512,510.5371,502.6063,535.6229,531.3912,528.178,548.7553,546.8947,523.8574,515.1999,546.6016
